# file...... wh1.csv
# date...... Sat Feb 13 14:03:12 2021
# user...... semae
# host...... (null)
# target.... waterheater 26
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,load_state,heatgain,height,waterheater_model,water_demand,temperature,is_waterheater_on
2021-02-07 11:03:07 PST,DEPLETING,+156.175,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:08 PST,DEPLETING,+156.174,+3.78239,ONEZNODE,+0,+119.984,+0
2021-02-07 11:03:09 PST,DEPLETING,+156.173,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:10 PST,DEPLETING,+156.172,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:11 PST,DEPLETING,+156.171,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:12 PST,DEPLETING,+156.17,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:13 PST,DEPLETING,+156.17,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:14 PST,DEPLETING,+156.169,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:15 PST,DEPLETING,+156.168,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:16 PST,DEPLETING,+156.167,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:17 PST,DEPLETING,+156.166,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:18 PST,DEPLETING,+156.165,+3.78239,ONEZNODE,+0,+119.983,+0
2021-02-07 11:03:19 PST,DEPLETING,+156.164,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:20 PST,DEPLETING,+156.164,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:21 PST,DEPLETING,+156.163,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:22 PST,DEPLETING,+156.162,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:23 PST,DEPLETING,+156.161,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:24 PST,DEPLETING,+156.16,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:25 PST,DEPLETING,+156.159,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:26 PST,DEPLETING,+156.159,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:27 PST,DEPLETING,+156.158,+3.78239,ONEZNODE,+0,+119.982,+0
2021-02-07 11:03:28 PST,DEPLETING,+156.157,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:29 PST,DEPLETING,+156.156,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:30 PST,DEPLETING,+156.155,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:31 PST,DEPLETING,+156.154,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:32 PST,DEPLETING,+156.154,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:33 PST,DEPLETING,+156.153,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:34 PST,DEPLETING,+156.152,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:35 PST,DEPLETING,+156.151,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:36 PST,DEPLETING,+156.15,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:37 PST,DEPLETING,+156.149,+3.78239,ONEZNODE,+0,+119.981,+0
2021-02-07 11:03:38 PST,DEPLETING,+156.149,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:39 PST,DEPLETING,+156.148,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:40 PST,DEPLETING,+156.147,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:41 PST,DEPLETING,+156.146,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:42 PST,DEPLETING,+156.145,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:43 PST,DEPLETING,+156.144,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:44 PST,DEPLETING,+156.144,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:45 PST,DEPLETING,+156.143,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:46 PST,DEPLETING,+156.142,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:47 PST,DEPLETING,+156.141,+3.78239,ONEZNODE,+0,+119.98,+0
2021-02-07 11:03:48 PST,DEPLETING,+156.14,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:49 PST,DEPLETING,+156.14,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:50 PST,DEPLETING,+156.139,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:51 PST,DEPLETING,+156.138,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:52 PST,DEPLETING,+156.137,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:53 PST,DEPLETING,+156.136,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:54 PST,DEPLETING,+156.135,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:55 PST,DEPLETING,+156.135,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:56 PST,DEPLETING,+156.134,+3.78239,ONEZNODE,+0,+119.979,+0
2021-02-07 11:03:57 PST,DEPLETING,+156.133,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:03:58 PST,DEPLETING,+156.132,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:03:59 PST,DEPLETING,+156.131,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:00 PST,DEPLETING,+156.131,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:01 PST,DEPLETING,+156.13,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:02 PST,DEPLETING,+156.129,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:03 PST,DEPLETING,+156.128,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:04 PST,DEPLETING,+156.127,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:05 PST,DEPLETING,+156.127,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:06 PST,DEPLETING,+156.126,+3.78239,ONEZNODE,+0,+119.978,+0
2021-02-07 11:04:07 PST,DEPLETING,+156.125,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:08 PST,DEPLETING,+156.124,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:09 PST,DEPLETING,+156.123,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:10 PST,DEPLETING,+156.123,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:11 PST,DEPLETING,+156.122,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:12 PST,DEPLETING,+156.121,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:13 PST,DEPLETING,+156.12,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:14 PST,DEPLETING,+156.119,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:15 PST,DEPLETING,+156.119,+3.78239,ONEZNODE,+0,+119.977,+0
2021-02-07 11:04:16 PST,DEPLETING,+156.118,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:17 PST,DEPLETING,+156.117,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:18 PST,DEPLETING,+156.116,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:19 PST,DEPLETING,+156.116,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:20 PST,DEPLETING,+156.115,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:21 PST,DEPLETING,+156.114,+3.78239,ONEZNODE,+0,+119.976,+0
2021-02-07 11:04:22 PST,DEPLETING,+156.113,+3.78239,ONEZNODE,+0,+119.976,+0
